iter	Passed	Remaining
0	3	3772
1	7	3591
2	10	3505
3	14	3506
4	17	3451
5	20	3429
6	24	3423
7	27	3368
8	30	3319
9	33	3274
10	36	3268
11	39	3265
12	42	3258
13	46	3258
14	49	3269
15	53	3265
16	56	3269
17	59	3252
18	62	3240
19	65	3223
20	69	3222
21	72	3214
22	75	3205
23	79	3213
24	82	3214
25	85	3217
26	88	3206
27	92	3197
28	95	3187
29	98	3179
30	101	3179
31	104	3173
32	108	3165
33	111	3158
34	115	3177
35	118	3175
36	122	3181
37	125	3177
38	128	3177
39	132	3188
40	136	3183
41	139	3178
42	142	3179
43	146	3173
44	149	3170
45	152	3164
46	155	3153
47	158	3150
48	161	3144
49	165	3140
50	168	3136
51	171	3135
52	174	3124
53	178	3123
54	181	3116
55	184	3113
56	188	3111
57	191	3109
58	194	3108
59	198	3102
60	201	3100
61	204	3096
62	207	3090
63	211	3087
64	214	3084
65	217	3079
66	220	3075
67	224	3072
68	227	3067
69	230	3062
70	237	3113
71	242	3129
72	246	3124
73	250	3139
74	254	3140
75	258	3141
76	262	3143
77	266	3145
78	269	3139
79	272	3133
80	275	3130
81	279	3126
82	282	3118
83	285	3115
84	288	3109
85	292	3106
86	295	3105
87	299	3105
88	303	3101
89	306	3098
90	309	3093
91	312	3087
92	316	3083
93	319	3081
94	322	3076
95	326	3072
96	329	3066
97	332	3062
98	336	3060
99	339	3053
100	342	3047
101	345	3042
102	348	3037
103	352	3033
104	355	3029
105	358	3023
106	361	3018
107	365	3018
108	368	3013
109	371	3008
110	375	3003
111	378	3000
112	381	2998
113	385	2995
114	388	2989
115	391	2984
116	395	2983
117	398	2978
118	401	2973
119	404	2969
120	408	2965
121	411	2962
122	415	2962
123	418	2957
124	421	2952
125	424	2946
126	428	2942
127	431	2940
128	434	2936
129	437	2930
130	441	2925
131	444	2922
132	447	2918
133	450	2914
134	454	2910
135	457	2905
136	460	2900
137	463	2896
138	466	2892
139	470	2890
140	473	2887
141	477	2884
142	480	2880
143	483	2876
144	487	2871
145	490	2867
146	493	2863
147	497	2862
148	500	2858
149	503	2853
150	506	2848
151	509	2843
152	513	2840
153	516	2834
154	519	2831
155	522	2828
156	525	2824
157	529	2820
158	532	2815
159	535	2811
160	538	2806
161	541	2802
162	544	2798
163	548	2793
164	551	2788
165	554	2784
166	557	2780
167	560	2775
168	563	2770
169	566	2765
170	569	2762
171	572	2757
172	576	2754
173	579	2750
174	582	2746
175	586	2743
176	589	2740
177	592	2737
178	595	2732
179	598	2727
180	602	2724
181	605	2720
182	608	2716
183	611	2713
184	615	2709
185	618	2708
186	622	2704
187	625	2700
188	628	2696
189	631	2692
190	634	2689
191	638	2687
192	641	2683
193	644	2678
194	647	2674
195	651	2670
196	654	2667
197	657	2662
198	660	2657
199	663	2652
200	666	2648
201	669	2645
202	672	2642
203	676	2639
204	679	2634
205	682	2629
206	685	2624
207	688	2622
208	693	2623
209	697	2623
210	701	2621
211	705	2622
212	708	2618
213	711	2614
214	715	2610
215	718	2606
216	721	2603
217	724	2599
218	727	2594
219	730	2591
220	734	2588
221	737	2583
222	739	2578
223	743	2575
224	746	2572
225	749	2568
226	752	2563
227	756	2560
228	759	2556
229	762	2553
230	765	2549
231	768	2545
232	771	2540
233	774	2536
