iter	Passed	Remaining
0	12	12278
1	19	9575
2	22	7603
3	30	7477
4	33	6620
5	36	6060
6	45	6385
7	48	5987
8	53	5838
9	62	6147
10	66	5976
11	70	5840
12	78	5969
13	82	5778
14	85	5612
15	94	5802
16	97	5649
17	103	5622
18	109	5660
19	113	5583
20	117	5472
21	123	5468
22	127	5395
23	130	5298
24	134	5246
25	140	5271
26	143	5189
27	147	5110
28	150	5043
29	156	5060
30	160	5002
31	163	4942
32	166	4883
33	172	4896
34	175	4841
35	179	4795
36	182	4744
37	188	4772
38	191	4728
39	195	4683
40	198	4636
41	207	4725
42	213	4751
43	218	4741
44	222	4714
45	225	4666
46	227	4619
47	230	4577
48	236	4596
49	239	4555
50	242	4512
51	245	4471
52	253	4520
53	256	4495
54	260	4468
55	262	4432
56	270	4474
57	274	4450
58	277	4424
59	284	4450
60	289	4454
61	292	4424
62	295	4393
63	299	4377
64	302	4348
65	305	4317
66	308	4290
67	314	4308
68	317	4281
69	320	4252
70	323	4226
71	330	4256
72	333	4229
73	336	4207
74	339	4182
75	345	4199
76	348	4174
77	351	4152
78	354	4128
79	359	4138
80	363	4119
81	366	4099
82	369	4078
83	372	4059
84	378	4069
85	381	4054
86	384	4032
87	388	4021
88	394	4036
89	397	4016
90	400	4000
91	403	3981
92	409	3995
93	412	3975
94	415	3957
95	418	3939
96	423	3946
97	427	3930
98	430	3913
99	432	3896
100	436	3880
101	441	3890
102	444	3874
103	447	3858
104	450	3842
105	456	3850
106	459	3836
107	462	3821
108	465	3807
109	470	3810
110	474	3797
111	477	3782
112	480	3769
113	483	3756
114	487	3755
115	490	3740
116	493	3726
117	496	3712
118	499	3698
119	503	3694
120	506	3681
121	509	3668
122	512	3656
123	516	3647
124	519	3635
125	522	3625
126	525	3612
127	528	3600
128	531	3591
129	535	3580
130	538	3569
131	541	3557
132	544	3552
133	548	3544
134	552	3538
135	555	3527
136	559	3521
137	561	3509
138	566	3510
139	569	3499
140	572	3487
141	575	3475
142	578	3464
143	584	3473
144	587	3463
145	590	3451
146	592	3440
147	597	3441
148	600	3432
149	603	3422
150	606	3411
151	609	3400
152	614	3403
153	617	3393
154	620	3382
155	623	3372
