MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,houseage,houseremodelage,totalsf,totalarea,totalbaths,totalporchsf
60,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,150,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,0,No,Attchd,RFn,2,TA,Y,0,0,2,WD,Normal,12.24769911637256,5,5,2416,2566,3.5,61
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,284,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,TA,Y,0,0,5,WD,Normal,12.109016442313738,31,31,2240,2524,2.5,298
60,RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,434,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,TA,Y,0,0,9,WD,Normal,12.317171167298682,7,6,2272,2706,3.5,42
70,RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,No,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,540,GasA,Gd,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,TA,Y,0,0,2,WD,Abnorml,11.849404844423074,91,36,1933,2473,2.0,307
60,RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,490,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,TA,Y,0,0,12,WD,Normal,12.429220196836383,8,8,2853,3343,3.5,276
50,RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,No,0.0,TA,TA,Wood,Gd,TA,No,GLQ,64,GasA,Ex,Y,SBrkr,0,1,1,TA,5,Typ,0,No,Attchd,Unf,2,TA,Y,0,700,10,WD,Normal,11.870606902224587,16,14,2094,2158,2.5,390
20,RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,317,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,Y,0,0,8,WD,Normal,12.634606283893019,3,2,3063,3380,3.0,312
60,RL,0.0,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,216,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,TA,Y,0,350,11,WD,Normal,12.206077645517674,36,36,2981,3197,3.5,667
50,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,No,0.0,TA,TA,BrkTil,TA,TA,No,Unf,952,GasA,Gd,Y,FuseF,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,Fa,Y,0,0,4,WD,Abnorml,11.774527900858468,77,58,1774,2726,2.0,295
190,RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,No,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,140,GasA,Ex,Y,SBrkr,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,Gd,Y,0,0,1,WD,Normal,11.678448377988165,69,58,1928,2068,2.0,4
